"date","name","party","facebook","twitter","location"
"10/12/15","George Pataki","R","19142","56155",""
"10/12/15","Rand Paul","R","2067516","694200",""
"10/12/15","Marco Rubio","R","1046245","892132",""
"10/12/15","Rick Santorum","R","265407","245200",""
"10/12/15","Lincoln Chafee","D","9952","19876",""
"10/12/15","Hillary Clinton","D","1522106","4431044",""
"10/12/15","Martin OMalley","D","80848","187",""
"10/12/15","Bernie Sanders","D","1653105","794600",""
"10/12/15","Jim Webb","D","32044","14605",""
"10/13/15","Donald Trump","R","3986727","4408009",""
"10/13/15","Jeb Bush","R","284907","329994",""
"10/13/15","Ben Carson","R","4198226","727058",""
"10/13/15","Chris Christie","R","188085","563912",""
"10/13/15","Ted Cruz","R","1490931","523869",""
"10/13/15","Mark Everson","R","1864","6492",""
"10/13/15","Carly Fiorina","R","486901","586974",""
"10/13/15","Jim Gilmore","R","10453","1798",""
"10/13/15","Lindsey Graham","R","137481","27946",""
"10/13/15","Mike Huckabee","R","1848705","412094",""
"10/13/15","Bobby Jindal","R","284413","218948",""
"10/13/15","John Kasich","R","146916","111769",""
"10/13/15","George Pataki","R","19153","56420",""
"10/13/15","Rand Paul","R","2067567","694265",""
"10/13/15","Marco Rubio","R","1046913","893127",""
"10/13/15","Rick Santorum","R","265397","245226",""
"10/13/15","Lincoln Chafee","D","10164","19977",""
"10/13/15","Enrique Sotomayor","D","7233","212",""
"10/13/15","Hillary Clinton","D","1532074","4442557",""
"10/13/15","Martin OMalley","D","81302","190",""
"10/13/15","Bernie Sanders","D","1657234","799529",""
"10/13/15","Jim Webb","D","32370","14770",""
"10/14/15","Donald Trump","R","4010376","4570839",""
"10/14/15","Jeb Bush","R","285313","339779",""
"10/14/15","Ben Carson","R","4205857","761892",""
"10/14/15","Chris Christie","R","188123","564435",""
"10/14/15","Ted Cruz","R","1492478","535721",""
"10/14/15","Mark Everson","R","1865","6501",""
"10/14/15","Carly Fiorina","R","488605","596850",""
"10/14/15","Jim Gilmore","R","10453","1820",""
"10/14/15","Lindsey Graham","R","137678","28189",""
"10/14/15","Mike Huckabee","R","1848952","416509",""
"10/14/15","Bobby Jindal","R","284482","220716",""
"10/14/15","John Kasich","R","147031","112862",""
"10/14/15","George Pataki","R","19170","56096",""
"10/14/15","Rand Paul","R","2067714","698118",""
"10/14/15","Marco Rubio","R","1048367","902843",""
"10/14/15","Rick Santorum","R","265400","245608",""
"10/14/15","Lincoln Chafee","D","11242","22341",""
"10/14/15","Enrique Sotomayor","D","7229","213",""
"10/14/15","Hillary Clinton","D","1553099","4478746",""
"10/14/15","Martin OMalley","D","87206","212",""
"10/14/15","Bernie Sanders","D","1714440","835513",""
"10/14/15","Jim Webb","D","37274","19779",""
"10/15/15","Donald Trump","R","4018747","4584426","New York, NY"
"10/15/15","Jeb Bush","R","285537","340755","Miami, FL"
"10/15/15","Ben Carson","R","4233971","767044","Baltimore, MD "
"10/15/15","Chris Christie","R","188146","564610","Trenton, NJ"
"10/15/15","Ted Cruz","R","1493617","536880","Houston, Texas"
"10/15/15","Mark Everson","R","1865","6501",""
"10/15/15","Carly Fiorina","R","489486","597583","Virginia "
"10/15/15","Jim Gilmore","R","10451","1833","Richmond, VA"
"10/15/15","Lindsey Graham","R","137778","28207",""
"10/15/15","Mike Huckabee","R","1849169","416868","Little Rock, Arkansas"
"10/15/15","Bobby Jindal","R","284498","220839","Baton Rouge, LA"
"10/15/15","John Kasich","R","147107","115606","Westerville, Ohio"
"10/15/15","George Pataki","R","19174","56366","Peekskill, New York"
"10/15/15","Rand Paul","R","2067902","698690",""
"10/15/15","Marco Rubio","R","1049548","904558","United States"
"10/15/15","Rick Santorum","R","265400","245640","Pittsburgh, Dallas  and  Virginia"
"10/15/15","Lincoln Chafee","D","11457","22564","Rhode Island"
"10/15/15","Enrique Sotomayor","D","7228","212","austin, texas"
"10/15/15","Hillary Clinton","D","1561927","4485508","New York"
"10/15/15","Martin OMalley","D","88526","213","Baltimore, MD"
"10/15/15","Bernie Sanders","D","1735379","844276","Vermont/DC"
"10/15/15","Jim Webb","D","38557","20342","United States"
